DOT/USD,USDC/USD,MATIC/USD,SOL/USD,USDT/USD,ETH/USD,TRX/USD,BTC/USD,LTC/USD,AVAX/USD,SHIB/USD,DOGE/USD,UNI/USD,NEAR/USD,LINK/USD,ALGO/USD,BCH/USD,XTZ/USD,AAVE/USD,GRT/USD,MKR/USD,CRV/USD,YFI/USD,SUSHI/USD
4.6005,1.000065,0.0276,3.4932,1.0005,1129.43,0.0618,35892.58,144.36,112.57,1.064e-05,0.0088,5.5436,10.941,15.1438,0.424,490.38,0.70375,319.49,0.57,1592.2815,0.484415,21306.08,7.976
4.603985,0.999885,0.0254,3.6627,0.9992,1034.85,0.0587,33284.02,132.71,116.3,1.055e-05,0.0079,5.4785,10.174,13.9407,0.404,464.83,0.721401,293.77,0.5395,1421.5254,0.477547,19627.74,8.043
4.492075,1.0,0.0298,3.61,1.0,1110.53,0.0601,37546.57,146.27,124.46,1.059e-05,0.0084,6.3152,11.324,15.5758,0.432,489.17,0.712022,300.83,0.558,1513.7275,0.47705,20100.0,8.599
4.2633,1.000035,0.0326,3.8787,0.9995,1184.18,0.0617,37800.02,146.59,117.14,1.0375e-05,0.0093,6.7888,11.118,17.7432,0.455,498.6,0.68645,298.0,0.5656,1541.2651,0.4542165,21028.72,9.123
4.232935,1.00011,0.0337,3.3863,0.9999,1163.89,0.0609,35859.45,141.02,107.8,1.0605e-05,0.0092,7.3011,10.784,21.8049,0.497,480.84,0.6852,317.65,0.5849,1494.0197,0.442506,25083.14,10.195
4.2709,1.0,0.0325,3.5048,1.0001,1215.22,0.0621,35562.63,141.63,103.12,1.07e-05,0.009,8.4217,11.323,20.2456,0.503,476.72,0.693355,318.15,0.6028,1470.2989,0.436597,33234.21,10.162
4.2827,1.0,0.0349,3.7825,0.9996,1207.85,0.0619,35349.37,140.55,103.16,1.0665e-05,0.009,8.6026,13.23,22.1663,0.565,475.55,0.69721,338.07,0.6615,1432.1333,0.440085,31036.0,9.317
4.23833,0.999915,0.0347,3.9,1.0014,1320.57,0.0592,36312.15,158.0,98.0,1.093e-05,0.0093,9.1075,13.59,21.5362,0.548,517.83,0.6902,318.45,0.6433,1427.0,0.438925,33061.59,10.144
4.241,1.00008,0.0322,3.5864,1.0006,1368.36,0.0617,35505.69,150.97,94.03,1.135e-05,0.0091,8.5612,13.569,20.5457,0.53,502.82,0.692658,307.73,0.6539,1409.8679,0.4412575,35553.85,11.129
4.26693,0.999985,0.0326,3.5666,0.9999,1305.76,0.063,34569.16,142.37,89.84,1.0695e-05,0.0089,8.2806,13.621,21.0777,0.514,478.66,0.691003,307.12,0.6392,1350.0,0.445787,34000.87,11.224
4.3115,1.0000935,0.0298,3.12,1.0005,1174.8,0.0629,31795.0,137.29,93.33,1.119e-05,0.0085,8.2549,12.346,19.6424,0.48,422.33,0.70065,355.68,0.6631,1231.3228,0.44685,31918.01,12.206
4.255035,1.0001,0.0322,3.4833,1.001,1265.64,0.0674,33384.16,141.27,89.56,1.137e-05,0.0088,9.0905,12.59,23.3795,0.539,438.25,0.697395,360.64,0.676,1457.3296,0.439073,30887.06,12.438
4.1616,1.000115,0.0349,3.6833,1.0004,1323.99,0.0684,32872.34,141.83,82.34,1.1055e-05,0.0087,10.1442,11.683,24.0903,0.567,441.74,0.67965,377.45,0.7404,1445.8956,0.4287785,32857.52,12.047
4.12355,0.99995,0.0345,3.5921,1.0005,1441.03,0.0676,33324.95,145.56,84.55,1.0975e-05,0.0088,12.439,10.752,25.2587,0.608,455.9,0.6723605,376.13,0.7059,1493.3708,0.4250755,30480.69,12.333
4.01475,0.999825,0.033,3.8265,1.0006,1340.27,0.0639,32097.0,136.77,87.88,1.1e-05,0.0084,12.6667,10.72,23.225,0.57,430.56,0.646185,357.51,0.6729,1380.0,0.4154345,31704.05,13.417
3.97965,1.000012,0.0439,3.7458,1.0013,1286.54,0.0654,31548.05,129.44,76.88,1.0895e-05,0.0081,13.5082,10.218,21.8837,0.563,408.41,0.635897,373.05,0.7219,1370.0,0.3999975,29893.68,12.737
3.9935,1.0,0.0431,3.7686,1.0018,1303.91,0.0628,31778.65,129.88,91.7,1.0915e-05,0.0123,14.556,10.783,23.5962,0.562,393.57,0.6393025,400.38,0.7649,1385.6867,0.41602,29000.99,12.425
4.089,0.999865,0.0392,3.6671,1.0019,1305.82,0.0636,33045.47,135.13,101.74,1.115e-05,0.0702,14.966,11.269,22.5847,0.575,412.34,0.6615575,408.2,0.8041,1390.4757,0.423919,28636.4,14.039
4.21995,1.00015,0.0411,3.8383,1.0,1338.0,0.0636,33517.18,130.02,102.88,1.0795e-05,0.0318,15.2891,11.142,22.3064,0.631,398.52,0.6844805,411.64,0.9075,1418.0818,0.437265,29950.0,14.116
4.13609,0.99985,0.0393,4.4153,1.0008,1351.0,0.0639,33761.43,130.54,110.45,1.094e-05,0.0292,19.2226,10.831,23.2042,0.672,401.9,0.674261,419.43,0.9134,1528.7673,0.433135,33891.55,13.763
4.11733,1.0000875,0.038,4.2194,1.0008,1321.58,0.0638,33787.13,131.47,113.71,1.1395e-05,0.0409,17.9281,10.4,22.4366,0.635,411.44,0.6675325,408.53,0.8902,1506.1006,0.436574,36335.14,14.024
4.114215,1.0002,0.0408,4.9083,1.0008,1389.21,0.0713,34009.33,135.22,103.6,1.1145e-05,0.0335,19.3872,9.571,23.22,0.638,415.99,0.67302,414.96,0.9241,1525.0,0.4415785,40919.54,13.516
4.1245,1.00003,0.0409,5.2084,1.0013,1544.57,0.0698,36510.08,152.31,117.32,1.1635e-05,0.0324,19.4585,9.645,23.9054,0.664,437.9,0.676165,426.07,0.8979,1694.0169,0.4367575,38772.92,12.329
4.1502,1.0001,0.0422,6.0056,1.0017,1658.07,0.071,37646.6,151.67,124.54,1.143e-05,0.0395,20.9651,8.437,24.7161,0.718,439.4,0.67935,377.15,0.8581,1737.2139,0.4517325,36842.18,11.814
4.022375,1.000158,0.0493,6.7706,1.001,1633.55,0.0857,37108.52,148.5,120.28,1.145e-05,0.0465,20.322,9.024,26.0263,0.757,429.07,0.6604135,376.7,0.8568,2405.4532,0.449395,32336.34,11.431
4.0145,0.9999475,0.0492,6.0667,1.0007,1662.43,0.0783,39051.0,158.7,119.73,1.1515e-05,0.0493,20.09,7.52,25.0464,0.786,469.36,0.667369,408.37,1.0398,2382.661,0.487338,33595.0,12.069
4.0108,1.0,0.0498,5.89,1.0008,1617.66,0.0817,38571.85,151.39,114.32,1.094e-05,0.0565,18.32,8.346,24.1432,0.796,446.72,0.6625425,407.74,1.0172,2440.0,0.47348,35357.89,11.56
4.00474,0.99995,0.0746,6.973,1.0008,1610.0,0.0828,38700.0,149.86,111.39,1.0585e-05,0.0706,18.8686,9.091,24.3802,0.863,447.67,0.65252,404.82,1.0266,2596.7917,0.5187185,34015.85,11.102
4.050295,0.99995,0.0727,8.2711,1.0014,1747.1,0.0849,46964.37,170.56,116.0,1.0345e-05,0.0813,19.2032,8.767,25.6147,1.0,499.31,0.657963,410.7,1.0538,2583.7341,0.520815,32411.45,11.499
3.99835,0.9992,0.1153,8.1756,1.001,1800.46,0.0772,46166.35,189.35,112.99,1.042e-05,0.074,21.0496,8.48,27.3684,1.005,519.53,0.6572755,409.16,1.0143,2613.6497,0.520676,31793.73,12.642
3.9895,0.99999,0.1304,9.3596,1.0008,1720.27,0.0778,44675.1,179.11,108.0,1.038e-05,0.0729,20.26,9.672,27.009,1.199,505.71,0.6529305,376.5,0.935,2471.127,0.512175,32818.83,13.312
4.076545,1.0001185,0.1206,9.3826,1.0007,1762.73,0.0727,47289.12,182.07,101.64,1.025e-05,0.0674,22.2912,11.373,27.3043,1.214,527.76,0.67019,372.82,0.8886,2576.8895,0.5192745,33658.56,13.16
4.07875,0.999905,0.1236,9.4583,1.0017,1853.21,0.0717,47960.94,206.47,103.66,1.038e-05,0.0695,23.0173,11.393,31.0806,1.71,576.31,0.6797695,349.76,0.8517,2719.0,0.5210075,32394.66,12.995
4.1165,0.99997,0.1066,8.6894,0.9998,1840.17,0.0726,48938.82,217.55,109.58,1.0325e-05,0.0648,21.6629,11.042,33.5429,1.555,676.56,0.6836695,368.75,0.9171,2598.7285,0.520185,32039.98,13.199
4.256355,0.99993,0.0929,7.9532,1.0009,1725.64,0.0698,46773.29,197.26,116.05,1.0285e-05,0.0532,19.0487,10.514,31.15,1.297,654.79,0.700925,357.91,0.8956,2342.8606,0.528444,33806.59,14.025
4.1485,0.999995,0.1095,8.632,0.9996,1808.0,0.0703,49185.11,213.76,112.13,1.0325e-05,0.0579,20.7124,10.59,32.3763,1.395,718.72,0.6858445,353.21,0.8869,2547.5893,0.496194,32115.39,13.586
4.009385,1.000104,0.0975,7.6915,1.0002,1746.82,0.0708,49711.98,208.52,105.72,1.0275e-05,0.0529,19.4706,9.94,30.2189,1.225,690.26,0.662315,356.87,0.8627,2425.5142,0.4832,31518.85,10.908
4.04695,0.99982,0.1283,8.6013,1.0007,1901.33,0.0718,52200.0,233.57,105.54,1.0065e-05,0.0524,21.72,9.797,33.0068,1.439,721.09,0.683532,402.88,0.8585,2678.4598,0.479965,33177.41,11.617
4.035415,0.9999,0.1227,8.6875,0.9994,1913.33,0.0716,51506.26,225.8,93.99,9.885e-06,0.0561,20.4,10.458,31.8863,1.335,696.53,0.673,412.63,0.9212,2526.5427,0.470405,32864.34,11.168
4.081725,1.000041,0.1662,11.22,1.0003,2015.11,0.0741,55683.65,242.62,88.62,9.955e-06,0.054,23.0806,10.729,34.7726,1.372,738.29,0.680765,399.01,0.9193,2604.0414,0.4752,29314.61,10.307
4.05885,1.0,0.1662,10.2292,1.0004,1944.99,0.0714,56570.0,225.44,88.18,1.0065e-05,0.0552,30.1876,10.532,34.1684,1.337,684.64,0.6745,394.87,0.9367,2686.216,0.47158,23854.23,10.763
4.02032,1.00015,0.1562,10.52,1.0009,1867.77,0.0736,55865.52,218.1,84.64,9.965e-06,0.0565,27.4184,10.53,32.1332,1.246,678.2,0.67637,400.3,0.9626,2515.6666,0.471985,23642.89,10.854
3.8368,0.999822,0.1309,13.1188,0.9997,1620.0,0.0772,49950.09,189.08,90.04,9.935e-06,0.0508,23.9078,10.334,27.6977,1.039,569.13,0.71865,415.18,1.0328,2113.7047,0.4443155,23897.93,11.076
3.76225,0.99998,0.1507,15.5016,0.9998,1628.16,0.0779,50217.25,181.18,86.01,9.445e-06,0.0505,26.0031,9.854,27.7434,1.1,537.65,0.6687785,402.8,1.0338,2296.5612,0.43005,23812.34,12.939
3.71265,0.999865,0.1761,16.5675,1.0006,1624.43,0.082,50440.62,182.35,90.94,9.245e-06,0.0568,25.5382,10.068,27.6047,1.061,535.19,0.648937,338.63,0.8173,2227.8793,0.427185,24651.74,15.466
3.675,1.00002,0.1606,13.58,0.9999,1449.4,0.0841,45499.29,165.53,93.68,8.99e-06,0.0496,21.9856,10.099,23.9303,0.92,471.23,0.645,335.26,0.8278,1940.5479,0.42521,23687.59,14.667
3.736,1.0000185,0.222,13.96,0.9996,1506.18,0.0793,47791.28,176.87,91.13,8.985e-06,0.0513,24.12,10.984,25.4885,1.019,494.01,0.6559595,335.0,0.8805,2011.34,0.44108,23752.24,12.813
3.7221,1.0000585,0.1807,12.2,1.0007,1362.4,0.0802,44803.83,158.92,90.58,8.9e-06,0.0479,21.1328,10.603,24.23,1.044,455.54,0.6528035,317.36,0.8328,1851.8499,0.440235,24140.11,12.312
3.75678,1.00009,0.238,15.1412,1.001,1434.99,0.0807,46235.25,165.3,91.96,8.645e-06,0.0484,22.865,11.279,24.9228,1.023,466.64,0.65381,336.49,0.856,2154.7453,0.4391775,24522.37,11.224
3.744335,1.000086,0.2269,14.5357,1.0006,1559.49,0.0829,48703.55,173.08,89.19,8.795e-06,0.0517,26.5,11.149,28.8,1.078,499.0,0.657658,317.5,0.9038,2212.1455,0.448455,23223.01,10.178
3.6862,1.000026,0.2291,14.0,1.0006,1545.81,0.0809,49132.93,190.21,86.01,8.765e-06,0.0508,26.442,10.802,29.8052,1.101,529.2,0.65218,329.0,0.8419,2251.0531,0.4336245,24811.3,9.47
3.6226,0.999965,0.2237,13.8964,1.0004,1563.3,0.0833,49708.29,188.25,84.57,8.83e-06,0.0504,26.9599,11.388,29.4176,1.18,516.83,0.6251895,392.84,0.8497,2180.5175,0.419285,25085.39,10.675
3.71325,1.00007,0.1897,12.3589,1.0,1472.01,0.0821,47143.6,171.38,84.21,8.795e-06,0.0493,27.8305,11.027,26.3158,1.046,482.48,0.64115,408.45,0.8945,2079.1455,0.41846,22898.47,10.263
3.73185,0.999892,0.226,12.3859,1.0,1574.94,0.085,48450.01,181.91,75.99,8.83e-06,0.0515,28.67,12.199,27.3997,1.052,497.01,0.647154,388.13,0.8543,2092.9997,0.423465,23978.46,9.505
3.896515,1.00005,0.2163,12.7748,1.0002,1663.64,0.0791,49364.28,183.45,63.01,8.775e-06,0.0511,30.7435,12.691,28.45,1.087,505.51,0.6685,363.01,0.8405,2203.3709,0.44349,25555.6,9.216
4.0495,0.9998,0.2146,13.5683,1.0007,1749.49,0.0796,50807.58,191.57,61.86,8.705e-06,0.0559,34.7462,13.152,29.2501,1.124,521.41,0.68397,350.95,0.8243,2237.351,0.45718,24841.84,11.216
4.3439,1.0,0.222,14.0242,1.0,1843.22,0.0834,54281.56,201.09,61.69,8.685e-06,0.0593,33.8736,12.776,31.3975,1.172,544.3,0.711865,324.52,0.7781,2192.5855,0.470332,25015.69,10.251
4.242785,1.0001,0.3203,14.3803,1.0002,1800.51,0.0801,53657.62,195.65,62.71,8.715e-06,0.0563,31.7189,13.252,30.2203,1.145,526.88,0.713891,290.33,0.6879,2203.6154,0.4827205,26681.9,9.937
4.3423,0.999865,0.2882,13.9722,0.9995,1778.11,0.0803,55241.5,197.4,68.97,8.53e-06,0.0551,30.1199,13.18,29.3109,1.094,541.59,0.719555,269.07,0.6716,2166.728,0.486648,25309.01,9.937
4.177,0.999935,0.4615,16.3564,0.9997,1810.29,0.0811,57182.06,210.25,62.41,8.895e-06,0.0562,31.5786,14.214,29.8327,1.081,552.98,0.7027755,305.39,0.7438,2226.9896,0.471625,25713.49,10.127
4.193715,1.0002875,0.4231,14.3407,0.9997,1771.62,0.0813,56764.86,216.25,65.48,8.74e-06,0.0555,32.0274,14.0,28.1891,1.049,543.75,0.7230695,298.31,0.7605,2135.4582,0.4764,24549.64,10.57
4.174675,0.999976,0.3898,14.6719,0.9996,1896.93,0.0797,61027.96,222.05,68.71,8.47e-06,0.0619,32.8634,12.917,29.4354,1.105,587.54,0.7275815,280.78,0.6933,2149.351,0.488985,23332.26,11.016
4.28827,1.000059,0.4089,14.5345,0.9996,1863.05,0.0747,59765.08,218.37,71.42,8.49e-06,0.0588,31.0891,15.137,28.9369,1.225,558.75,0.7413025,266.95,0.6683,2069.3233,0.494385,23216.64,10.5
4.4723,0.999905,0.367,13.5022,0.9996,1749.06,0.0725,54406.38,197.03,65.08,8.595e-06,0.0571,28.8852,15.781,27.4089,1.166,519.27,0.748501,300.67,0.6864,2034.4352,0.4850495,22652.0,10.356
4.41904,0.999805,0.4066,13.4374,1.0003,1772.02,0.0603,55583.84,198.27,69.54,8.815e-06,0.0581,31.1753,16.564,27.8058,1.169,523.23,0.75175,277.03,0.673,2073.2709,0.475245,23448.66,10.56
4.6989,0.99995,0.4121,14.1794,1.0,1829.64,0.0524,58814.92,205.02,73.07,8.77e-06,0.058,30.6277,17.621,30.0908,1.325,538.05,0.791789,272.94,0.6599,2127.4869,0.523602,23822.45,10.413
4.4847,1.00005,0.399,14.08,1.0002,1783.0,0.063,57882.46,201.36,68.5,8.665e-06,0.0577,30.1655,16.5,29.7552,1.267,533.89,0.7695345,277.06,0.6503,2091.2454,0.5053,23494.48,10.886
4.626095,1.000055,0.4093,14.3422,0.9999,1829.4,0.0613,58232.18,201.46,69.79,8.56e-06,0.0584,34.559,15.381,30.8168,1.269,540.48,0.779145,274.06,0.6511,2135.7943,0.528255,22890.49,10.81
4.775895,1.00011,0.3736,13.9127,1.0,1770.21,0.0601,56933.15,195.04,80.02,8.51e-06,0.0581,31.538,15.454,29.0599,1.177,524.52,0.797425,299.66,0.7001,2101.0595,0.558875,22066.81,10.907
4.7203,0.99997,0.3813,15.721,0.9999,1788.14,0.0604,57600.0,194.96,77.86,8.48e-06,0.0579,33.2575,1.314,29.0228,1.204,520.58,0.8021245,315.56,0.7367,2086.9388,0.5612195,20632.45,10.639
4.998,0.99995,0.346,14.8141,1.0002,1694.78,0.0593,54424.88,187.64,82.47,8.63e-06,0.0554,35.0616,1.305,27.392,1.112,530.2,0.831275,302.14,0.7182,1983.5912,0.5678225,21550.14,10.043
4.8891,0.99989,0.3284,14.2381,0.9996,1677.55,0.0629,54101.73,190.92,91.07,8.64e-06,0.0537,30.696,1.34,26.8213,1.096,512.62,0.851485,298.92,0.7258,2058.0381,0.554369,19673.22,10.163
5.126945,1.000015,0.3226,13.4022,0.9999,1573.68,0.0648,52253.12,175.0,87.33,8.53e-06,0.0512,26.9038,1.337,24.9358,1.026,465.65,0.871565,299.92,0.723,1882.914,0.581054,20503.09,10.261
5.1505,0.99975,0.3248,13.045,1.0004,1620.03,0.0642,52709.82,175.55,89.66,8.04e-06,0.0525,27.219,1.325,25.711,1.071,476.9,0.8593,307.0,0.7209,1919.6611,0.5743465,17541.75,10.741
5.2359,0.99995,0.3398,14.9299,1.0006,1697.22,0.0638,55010.74,181.94,88.17,8.18e-06,0.0544,28.9195,1.349,26.9289,1.11,502.67,0.877264,306.26,0.716,1990.5858,0.5968,19333.21,10.956
5.527605,0.9999915,0.3376,17.16,1.0001,1718.61,0.0658,56262.79,186.28,81.71,7.885e-06,0.0547,28.6423,1.352,27.4947,1.201,503.51,0.907875,310.31,0.7332,2107.6994,0.6197075,20400.39,11.368
5.61653,0.999962,0.3408,18.2385,0.9998,1696.78,0.065,55309.43,193.43,82.74,7.935e-06,0.0537,28.1416,1.314,26.7017,1.231,503.61,0.91927,306.17,0.7284,2077.3041,0.6115075,20319.56,11.185
5.470815,0.9998085,0.3823,20.223,0.9994,1803.16,0.0682,57550.48,191.72,77.64,6.72e-06,0.0542,28.6485,1.325,27.97,1.393,518.0,0.889965,295.36,0.701,2115.5759,0.586275,19310.3,10.925
5.29629,0.9998295,0.3616,18.85,1.0004,1825.45,0.0656,58758.08,193.21,84.28,6.79e-06,0.0537,28.3208,1.274,27.5031,1.296,524.71,0.8523,283.17,0.679,2085.9068,0.579803,21547.38,10.705
5.5776,0.999845,0.3763,20.1783,1.0004,1917.48,0.0655,58895.03,196.24,94.16,6.61e-06,0.054,28.8145,1.26,29.5817,1.362,540.64,0.8921645,290.76,0.686,2234.0053,0.616165,21605.74,11.301
5.4623,1.000107,0.3646,18.8012,0.9996,1993.92,0.0649,59537.23,205.48,94.2,6.74e-06,0.0591,29.5538,1.242,30.3199,1.324,557.28,0.851461,297.61,0.7105,2551.3981,0.582265,21775.22,11.23
5.09105,0.9999955,0.387,21.1489,1.0,2099.23,0.065,59401.97,212.53,89.23,6.8e-06,0.0589,31.7329,1.274,32.2224,1.361,587.71,0.8270975,301.95,0.7204,2521.0515,0.548162,21245.52,10.812
5.26783,1.0002095,0.3573,23.0503,1.0005,2015.24,0.0648,57579.19,198.3,84.58,6.62e-06,0.0566,29.8396,1.316,29.9519,1.3,547.48,0.841326,300.68,0.8314,2274.3769,0.5571395,19773.97,10.984
5.410665,1.000263,0.3554,24.1103,1.0001,2023.6,0.0638,57310.41,201.95,81.66,6.76e-06,0.0578,29.9811,1.43,29.9071,1.306,575.99,0.8523675,308.79,0.8095,2256.0241,0.570257,20027.0,10.637
5.232545,1.000005,0.3792,23.052,1.0001,2123.74,0.066,58807.07,222.75,80.76,6.83e-06,0.0588,31.0768,1.592,31.8475,1.415,646.64,0.8465165,302.97,0.7835,2305.4077,0.5692815,18326.67,11.307
5.02835,1.000035,0.3698,25.2418,1.0,2090.29,0.0687,57637.49,240.39,68.88,6.95e-06,0.0649,30.4582,1.511,34.52,1.44,690.0,0.7864205,298.98,0.7828,2300.0,0.533994,19079.39,11.727
5.168195,0.99995,0.3478,26.5141,0.9995,2017.63,0.0679,56907.02,224.27,76.07,7.19e-06,0.0613,29.5364,1.567,32.2675,1.349,627.96,0.805852,297.32,0.8063,2166.1204,0.579993,20173.96,10.436
5.175,1.00015,0.3554,28.214,1.0,2075.3,0.067,58193.36,225.15,66.31,7.215e-06,0.0614,30.0957,1.557,32.7807,1.333,642.26,0.8142965,323.52,0.8606,2193.3773,0.5872,18826.32,11.278
5.27515,1.000173,0.3657,27.202,0.999,2187.93,0.0692,61010.95,232.83,75.26,7.42e-06,0.0619,30.6176,1.676,32.8131,1.423,662.0,0.8272868265,323.84,0.9482,2304.5387,0.59765,18874.45,11.29
5.39694,0.999915,0.3599,26.0,0.9993,2128.69,0.0699,59868.55,251.76,79.39,8.05e-06,0.0646,29.577,1.633,32.3446,1.385,693.78,0.8445355,314.88,0.9112,2211.6442,0.6046,18671.16,11.225
5.27927,1.00005,0.3604,28.51,0.9993,2149.91,0.0687,60051.19,252.18,78.13,7.92e-06,0.0721,31.009,1.599,33.6,1.518,686.48,0.82727,318.6,0.889,2310.2823,0.5708095,18600.0,11.0
5.175315,1.0000935,0.3685,27.7106,0.9995,2162.19,0.0665,60517.63,248.87,73.03,7.975e-06,0.0746,35.3554,1.77,32.878,1.487,673.3,0.7874,311.72,1.0418,2560.1748,0.551625,18452.73,12.47
5.27374,0.99998,0.416,26.998,1.0005,2371.24,0.0656,64286.05,281.17,86.85,7.94e-06,0.1114,36.2568,1.805,37.07,1.495,818.97,0.8175585,323.9,1.02,2619.2606,0.564715,18382.57,12.446
5.157565,1.000195,0.412,25.8292,1.0,2450.28,0.0651,62965.16,274.18,88.05,7.73e-06,0.1388,37.7109,2.146,40.222,1.456,807.49,0.8209025,339.27,1.106,2823.1697,0.552603,18372.7,12.968
5.4791,1.0001,0.4275,27.2619,1.0008,2424.71,0.0659,61695.13,281.56,82.25,7.605e-06,0.2312,36.6302,2.161,40.6235,1.529,906.14,0.8337355,319.88,0.963,3472.0277,0.5672355,19299.49,12.777
5.47515,1.0,0.4287,25.919,1.0005,2482.93,0.0671,62271.48,322.12,77.18,7.485e-06,0.2808,37.3205,2.373,43.08,1.6,1133.34,0.8555955,343.63,1.0015,3593.7043,0.572854,19295.94,11.95
5.5381,0.999925,0.3326,23.8603,1.0037,2157.22,0.0669,55000.0,252.5,75.37,7.28e-06,0.2603,30.089,2.214,34.2132,1.363,876.1,0.857428,320.42,0.955,2999.3612,0.60025,20768.97,11.64
5.6362,0.9999975,0.3795,30.4477,1.0021,2267.09,0.0689,57052.0,276.5,75.9,7.515e-06,0.3351,32.202,2.179,40.8372,1.49,1008.82,0.8659065,316.93,0.9319,3556.3683,0.6058655,20752.91,12.174
5.6424,1.0000805,0.3207,31.2939,1.0013,2143.14,0.0687,55319.44,254.64,71.88,7.57e-06,0.4145,30.1428,2.065,36.5059,1.28,900.3,0.878974,309.6,0.9714,3418.3034,0.5985395,20042.31,12.407
5.8539,0.9998555,0.3425,32.6,1.0006,2307.88,0.0681,55431.8,261.31,72.39,7.54e-06,0.3263,32.0153,2.067,38.108,1.279,953.87,0.87826,321.48,1.0003,3632.9412,0.6184675,20802.15,11.718
6.17644,1.000045,0.4028,35.8273,1.0001,2447.11,0.0697,54266.55,262.8,78.32,7.7e-06,0.2814,36.6921,2.345,36.6818,1.25,920.18,0.923349,313.65,0.9719,4370.2693,0.617035,20037.04,11.218
6.29154,0.9999,0.3174,33.2715,0.9996,2207.23,0.0672,49147.47,225.93,73.27,7.755e-06,0.2055,31.5505,2.383,31.9882,1.047,756.23,0.9096065,325.74,1.0357,3416.3467,0.677323226,20392.98,11.141
7.41405,0.999095,0.3843,36.1117,1.0012,2311.87,0.0686,50480.93,234.35,74.0,7.715e-06,0.2476,32.5997,2.585,33.9982,1.158,817.04,0.974366,338.15,1.0575,3977.4655,0.692528,21475.59,10.903
7.2745,0.99905,0.3559,41.0465,1.0001,2191.43,0.0678,49656.48,225.09,73.14,7.47e-06,0.2768,30.131,2.58,31.2372,1.09,770.03,0.984805,320.42,1.0757,3840.0825,0.689476,20853.39,11.107
6.799495,0.99909,0.4737,46.0,1.0011,2455.78,0.0669,52347.01,238.66,71.37,7.205e-06,0.2622,35.2794,2.351,33.942,1.171,808.39,0.89651,318.31,1.0535,3967.706,0.69705,21157.82,10.995
6.99013,0.9993,0.5776,45.0072,1.0012,2509.17,0.0655,53527.55,248.3,68.7,7.3e-06,0.2667,38.2601,2.592,35.206,1.262,860.81,0.8911105,321.33,1.0822,4212.7631,0.650579648,23484.13,9.905
6.795995,0.9991775,0.7466,42.9253,1.0013,2633.84,0.0637,54881.73,254.83,66.69,7.765e-06,0.2677,39.939,2.454,36.6006,1.292,897.18,0.8978825,338.3,1.1906,4406.3963,0.62643,22661.36,9.841
7.3864,1.0001,0.7718,43.2885,1.0009,2682.16,0.0652,53607.03,251.5,68.69,7.625e-06,0.3144,42.0632,2.601,35.0687,1.256,877.64,0.93655,330.46,1.1979,4202.4713,0.6345635,22860.51,9.535
